"","state","state_code","state_name","county_code","county","fips_code","match_county","county_total","kabbage_total","kabbage_pct"
"1","AL","01","Alabama","001","Autauga County","01001","AUTAUGA",909,5,0.55005500550055
"2","AL","01","Alabama","003","Baldwin County","01003","BALDWIN",5563,63,1.13248247348553
"3","AL","01","Alabama","005","Barbour County","01005","BARBOUR",735,19,2.58503401360544
"4","AL","01","Alabama","007","Bibb County","01007","BIBB",294,6,2.04081632653061
"5","AL","01","Alabama","009","Blount County","01009","BLOUNT",691,3,0.434153400868307
"6","AL","01","Alabama","011","Bullock County","01011","BULLOCK",216,5,2.31481481481481
"7","AL","01","Alabama","013","Butler County","01013","BUTLER",448,10,2.23214285714286
"8","AL","01","Alabama","015","Calhoun County","01015","CALHOUN",1837,46,2.5040827436037
"9","AL","01","Alabama","017","Chambers County","01017","CHAMBERS",1018,16,1.57170923379175
"10","AL","01","Alabama","019","Cherokee County","01019","CHEROKEE",315,2,0.634920634920635
"11","AL","01","Alabama","021","Chilton County","01021","CHILTON",676,11,1.62721893491124
"12","AL","01","Alabama","023","Choctaw County","01023","CHOCTAW",297,3,1.01010101010101
"13","AL","01","Alabama","025","Clarke County","01025","CLARKE",535,8,1.49532710280374
"14","AL","01","Alabama","027","Clay County","01027","CLAY",202,NA,NA
"15","AL","01","Alabama","029","Cleburne County","01029","CLEBURNE",204,5,2.45098039215686
"16","AL","01","Alabama","031","Coffee County","01031","COFFEE",1021,15,1.46914789422135
"17","AL","01","Alabama","033","Colbert County","01033","COLBERT",1037,4,0.38572806171649
"18","AL","01","Alabama","035","Conecuh County","01035","CONECUH",313,8,2.55591054313099
"19","AL","01","Alabama","037","Coosa County","01037","COOSA",91,2,2.1978021978022
"20","AL","01","Alabama","039","Covington County","01039","COVINGTON",940,20,2.12765957446809
"21","AL","01","Alabama","041","Crenshaw County","01041","CRENSHAW",385,1,0.25974025974026
"22","AL","01","Alabama","043","Cullman County","01043","CULLMAN",1876,8,0.426439232409382
"23","AL","01","Alabama","045","Dale County","01045","DALE",969,6,0.619195046439629
"24","AL","01","Alabama","047","Dallas County","01047","DALLAS",1440,22,1.52777777777778
"25","AL","01","Alabama","049","DeKalb County","01049","DEKALB",NA,NA,NA
"26","AL","01","Alabama","051","Elmore County","01051","ELMORE",1311,8,0.61022120518688
"27","AL","01","Alabama","053","Escambia County","01053","ESCAMBIA",859,9,1.0477299185099
"28","AL","01","Alabama","055","Etowah County","01055","ETOWAH",1799,45,2.50138966092273
"29","AL","01","Alabama","057","Fayette County","01057","FAYETTE",253,14,5.53359683794466
"30","AL","01","Alabama","059","Franklin County","01059","FRANKLIN",546,4,0.732600732600733
"31","AL","01","Alabama","061","Geneva County","01061","GENEVA",630,5,0.793650793650794
"32","AL","01","Alabama","063","Greene County","01063","GREENE",422,3,0.710900473933649
